directory,file_name,variable_name,variable_type,description
data/,ploswater.rda,id,character,Unique Identifier
data/,ploswater.rda,doi,character,DOI of the study
data/,ploswater.rda,title,character,Title of the study
data/,ploswater.rda,display_name,character,Displayed Name in OpenAlex
data/,ploswater.rda,publication_year,numeric,Year of publication
data/,ploswater.rda,publication_date,Date,Date of publication
data/,ploswater.rda,language,character,Original publication language
data/,ploswater.rda,type,character,Indicates the type of scholarly work
data/,ploswater.rda,type_crossref,character,The work type as specified by Crossref
data/,ploswater.rda,indexed_in,character,
data/,ploswater.rda,authorships,character,Contains detailed information about authors and their institutional affiliations
data/,ploswater.rda,institution_assertions,character,Information about institutional affiliations
data/,ploswater.rda,countries_distinct_count,numeric,Total number of unique country codes among the work's authorships
data/,ploswater.rda,institutions_distinct_count,numeric,Total number of unique institutions among the work's authorships
data/,ploswater.rda,corresponding_author_ids,character,List of OpenAlex IDs for corresponding authors
data/,ploswater.rda,corresponding_institution_ids,character,List of OpenAlex IDs for institutions of corresponding authors
data/,ploswater.rda,fwci,numeric,"Field-weighted Citation Impact, calculated as the ratio of citations received to citations expected in the publication year and three following years"
data/,ploswater.rda,has_fulltext,logical,Boolean indicating if the full text is searchable in OpenAlex
data/,ploswater.rda,fulltext_origin,character,"Indicates how the full text was obtained (e.g., ""pdf"" or ""ngrams"") when has_fulltext is true"
data/,ploswater.rda,cited_by_count,numeric,Number of times the work has been cited
data/,ploswater.rda,is_retracted,logical,Wether study was retracted or not
data/,ploswater.rda,is_paratext,logical,
data/,ploswater.rda,topics,character,
data/,ploswater.rda,keywords,character,Keywords in the text
data/,ploswater.rda,concepts,character,Key concepts in the text
data/,ploswater.rda,mesh,character,
data/,ploswater.rda,locations_count,numeric,Number of different places where the work can be found
data/,ploswater.rda,locations,character,"List of all places where the work exists, including journals, proceedings, repositories (like arXiv), and institutional repositories"
data/,ploswater.rda,sustainable_development_goals,character,Classifications linking the work to UN Sustainable Development Goals (SDGs)
data/,ploswater.rda,grants,character,Information about research funding and grants associated with the work
data/,ploswater.rda,datasets,character,Associated research datasets
